"Export ""High Skilled Immigration Questionnaire"" as of Mon Jul 27 09:25:53 2026"
"Here's how you can select which data gets exported: https://help.formassembly.com/help/export"
"Submitted Date","Case Number","Last Name","First Name","Middle Name","Email Address",Gender,"Date of Birth","City/Town/Village of Birth","State or Province of Birth","Country of Birth","Country of Citizenship","Marital Status","Do you have any children?","Passport Number","Expiration Date","Country of Issuance","U.S. Social Security Number (if any)","Alien Number (if any)","Do you currently live and work outside the United States?","Street Name and Number","Apartment No",City,State,"Zip Code","U.S. Home Phone","U.S. Work Phone","Street Name and Number","Apartment No.",City,State/Province,"Zip/Pin Code",Country,"Foreign Home Phone","Foreign Work Phone","Are you currently in the United States?","Date of Last Arrival","Place of Last Entry (City/State)","I-94 Number","I-94 Expiration Date","Visa Used for Entry","Current Status","Place Visa Issued (City/State)","Date of Entry","Date of Departure","Visa Type","Have you ever been refused admission at a U.S. Port of Entry?","If yes, please explain","Have you ever been refused a visa?","If yes, where and when (mm/dd/yyyy) did you apply for the visa?","Has your U.S. visa ever been cancelled or revoked?","If yes, please explain (consulate information, date, reason):","Has anyone ever filed an immigrant visa petition for you?","If yes, who (brother, mother, employer, etc.)?","Petition Type","Name of College/University","Address of University (Street Name and Number)",City,State/Province,"Zip/Pin Code",Country,"Degree Awarded","Field of Study/Major","Month Completed","Year Completed","Add Another Education?","Name of College/University","Address of University (Street Name and Number)",City,State/Province,"Zip/Pin Code",Country,"Degree Awarded","Field of Study/Major","Month Completed","Year Completed","Add Another Education?","Name of College/University","Address of University (Street Name and Number)",City,State/Province,"Zip/Pin Code",Country,"Degree Awarded","Field of Study/Major","Month Completed","Year Completed","I have read this section (1 of 4)","Current Employer","Address 1","Address 2",City,State/Province,Zip,"Occupation/Job Title","Current Annual Salary","Hours (per week)","Employed in Current Position Since","Previous Employer Name","Address 1","Address 2",City,State/Province,Zip,Country,"Occupation/Job Title","Employed From","Employed To","Hours (per week)","Spouse's Last Name/Surname","Spouse's Given Name(s)","Date of Birth","Country of Birth","Is he or she applying for adjustment of status?","Child's Last Name/Surname","Child's Given Name(s)","Date of Birth","Country of Birth","Is he or she applying for adjustment of status?","Have you ever been issued a Notice to Appear (NTA)?","Have you ever been the subject of an exclusion, deportation, or removal proceeding?","Have you ever been denied any immigrant benefit?","Have you ever been a J-1 Exchange Visitor or J-2 Dependent?","Have you ever committed a crime of any kind?","Have you ever been arrested, cited, charged, or detained for any reason by any law enforcement official?","Have you ever lied about, concealed, or misrepresented any information on an application or petition to obtain a visa, other documentation required for entry into the United States, admission to the United States, or any other kind of immigration benefit?","If you answered “Yes” to any of the above, please provide an explanation in this space:","Name of the employer that you will be working for if your green card is approved.","Would your employer be willing to sponsor you for a green card?","Describe your area of expertise. Please be as specific as possible.","Explain in detail your field of expertise.","In detail, please explain how your work is unique and original, how it addresses the currently existing problems, and how your research/approach is a better alternative.","Explain how your work would translate to potential significant economic impact or substantially improve area including, but not limited to, business, entrepreneurship, science, technology, culture, health, or education.","Explain how your work is of national (or global) importance.","Explain how you are well positioned to advance the proposed endeavor.","Explain how your work in your field of expertise would be beneficial to the United States.","In detail, please provide a model or plan for future activities and details of any progress towards achieving the proposed endeavors.","Have you ever been awarded any professional degrees or certifications in your field?","Degree/Certification Name","Issuing Institution","Date Received","Have you ever been a principal investigator or co-principal investigator on any research projects?","Project Title","Role (Principal Investigator / Co-Principal Investigator)",Institution/Organization,"Start Date","End Date (leave blank if project is still ongoing)","Has your work ever been published in any professional journals or publications","Publication Title",Journal/Publisher,"Date Published","Have you, or your research, ever been cited in any professional journals or publications?","Citing Author(s)","Citing Publication/Journal",Date,"Please provide details.","Have you ever been featured or mentioned in any professional or major trade publications or media?","Publication/Outlet Name","Title of Article/Feature",Date,"Author (if known)","Have you ever been invited to speak at any professional conferences or events?","Event/Conference Name",Topic,Date,Location,"Have you ever been awarded any patents, trademarks, or research grants?","Type (Patent / Trademark / Grant)",Title/Number,"Issuing Body",Date,"Have you ever been recognized by any professional organizations or societies?","Award/Recognition Name","Issuing Organization",Date,"Selection Criteria (explain)","Have you ever held any leadership roles in your profession or organization?",Role/Title,Organization,"Start Date","End Date","Description of Responsibilities","Do you have documentation reflecting feasible plans for financial support (generally applicable for entrepreneurs)?","Please explain.","Have you received investment from U.S. investors, such as venture capital firms, angel investors, or start-up accelerators, and that the amounts are appropriate to the relevant endeavor?","Please explain.","Do you have copies of contracts, agreements, or licenses showing the potential impact of your proposed endeavor?","Please explain.","Do you have letters from government agencies or quasi-governmental entities in the United States demonstrating that the person is well positioned to advance the proposed endeavor?","Do you have evidence that the person has received awards or grants or other indications of relevant non-monetary support (for example, using facilities free of charge) from federal, state, or local government entities with expertise in economic development, research and development, or job creation?","Please explain.","Do the following apply to you? (Select all that apply)","Have you ever been awarded any lesser nationally or internationally recognized prizes or awards for excellence in the field of endeavor?","Please provide details.","Are you a member in an association that require outstanding achievements in your field?","Please provide details.","Detailed Description of the Project","Goal of the Project","How the Research Was Conducted","Why the Research Is Important to the Field","Why the Research Was Particularly Challenging","How You Overcame the Challenge","Result of the Project","How the Research Was Recognized","Your Role in the Project",Name,"Job Title",Organization,"Have you ever worked/collaborated with this reference source?","Please explain briefly.","Form Name","Creation Date","Modified Date","Completion Time","Response Html Beta","Response Html","Response Text",Response,"Response Url","Resume Email","File List","Unprotected File List","Response Id",Referrer,"Ip Address"
"2026-07-24 16:38:12",page0.serial,CONTACT2.Concent1,CONTACT0.GivenNm,"not in GW",CONTACT2.Email@goellaw.com,Male,07/03/2009,CONTACT2.CityBirth,CONTACT2.POB,CONTACT2.COB,CONTACT2.CitizenCty,Married,Yes,CONTACT2.PassportNo,07/14/2029,CONTACT2.pptcntry,ssn,ano,Yes,CONTACT2.USAdd1,CONTACT2.USAdd2,CONTACT2.USCity,AL,CONTACT2.USZip,PhoneNo,WrkPhone,CONTACT2.USZip,CONTACT2.FAdd2,CONTACT2.FCity,CONTACT2.FState,CONTACT2.FZip,CONTACT2.FCountry,ForHomePhn,ForWrkPhn,Yes,07/29/2026,PAGE36.LastEntryPl,I94Number,07/10/2027,ESTA,B-1,PAGE36.VisaIssPl,07/03/2026,07/10/2026,B-1,Yes,"PAGE36.DenyPortEntry and PAGE36.PortRefExp",Yes,"PAGE36.VisaRefuse & PAGE36.VisaRefExp",Yes,"PAGE36.VisaRefExp & PAGE36.VisaCanExp",Yes,"PAGE36.PriorPet & PAGE36.PetType & PAGE36.PriorPetExp",I-140,CONTACT2.UniName1,CONTACT2.MastersAddr,CONTACT2.MastersCity,CONTACT2.MastersState,CONTACT2.MastersZip,CONTACT2.DegCntry,"Master's (1-Year Program)",CONTACT2.Concent1,March,2020,Yes,CONTACT2.UniName2,CONTACT2.MastersAddr22,CONTACT2.MastersCity2,CONTACT2.MastersState2,CONTACT2.MastersZip2,CONTACT2.DgCntry2,"Bachelor's (4-Year Program)",CONTACT2.Concent12,March,1980,Yes,CONTACT2.UniName3,CONTACT2.MastersAddr13,CONTACT2.MastersCity3,CONTACT2.MastersState3,CONTACT2.MastersZip3,CONTACT2.DegCntry3,"Bachelor's (3-Year Program)",CONTACT2.Concent13,March,1850,"I have read this section",PAGE36.EmpName,PAGE36.CurrEmpAdd,PAGE36.CurrAdd2,PAGE36.CurrEmpCity,PAGE36.CurEmpState,PAGE36.CurrEmpZip,PAGE36.PosTitle,PAGE36.CurAnlSalary,69,07/14/2029,PAGE36.PrevEmpName2,PAGE36.PrevEmpAdd2,PAGE36.PrevAdd2,PAGE36.PrevEmpCity2,PAGE36.PrevEmpState2,PAGE36.PrevEmpZip2,PAGE36.PrevEmpCntry3,PAGE36.PrevPosTtl2,07/01/2026,07/04/2026,67,CONTACT3.Dep1SurName,CONTACT3.Dep1Fname,07/08/2003,CONTACT3.Dep1BirthCtry,Yes,CONTACT3.Dep2SurName,CONTACT3.Dep2Fname,07/01/2026,CONTACT3.Dep2BirthCtry,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"PAGE36.NTAIssued, CONTACT2.ExclDep, CONTACT2.BnDenied, CONTACT2.J1J2Granted, PAGE36.Crime, PAGE36.ImmLie, PAGE36.ImmLieExp","PAGE36.SponsEmp, PAGE36.WillSponsor",Yes,PAGE36.FieldScope,PAGE36.ExpertDtl,PAGE36.UniqueWork,PAGE36.EconMerit,PAGE36.EconMerit,PAGE36.AdvanceND,PAGE36.NatlBnft,PAGE36.FuturePlan,Yes,PAGE36A.DegreeName,PAGE36A.IssueInst,07/01/2026,Yes,PAGE36B.ProjTtl,PAGE36B.ProjRole,PAGE36B.ProjInst,07/01/2026,,Yes,PAGE36C.PubTitle,PAGE36C.PubJrnl,07/01/2026,Yes,PAGE36D.CiteAuthor,PAGE36D.CiteSource,07/02/2026,PAGE36D.CiteDetail,Yes,PAGE36E.MediaOutlet,PAGE36E.MediaTitle,,PAGE36E.MediaAuthor,Yes,PAGE36F.SpeakEvent,PAGE36F.SpeakTopic,07/02/2026,PAGE36F.SpeakLoc,Yes,PAGE36F.SpeakLoc,PAGE36M.IpTitle,PAGE36M.IpTitle,07/11/2026,Yes,PAGE36H.AwardName,PAGE36H.AwardName,07/11/2026,PAGE36H.AwardCrit,Yes,PAGE36I.LeadRole,PAGE36I.LeadOrg,07/09/2026,07/11/2026,PAGE36I.LeadDesc,Yes,PAGE36I.LeadDesc,Yes,PAGE36.InvestExp,Yes,PAGE36.ContrctExp,Yes,Yes,PAGE36.AwardDtl,"Documents showing technology that the person invented or contributed to inventing, and how others use that technology.",Yes,PAGE36.AwardDtl,Yes,PAGE36.AssocDtl,PAGE36K.RschDesc,PAGE36K.RschGoal,PAGE36K.RschCndct,PAGE36K.RschImpt,PAGE36K.RschChlng,PAGE36K.RschOvrcm,PAGE36K.RschRes,PAGE36K.RschRecog,PAGE36K.RschRole,PAGE36L.RefName,PAGE36L.RefTitle,PAGE36L.RefOrg,Yes,REFExp,"High Skilled Immigration Questionnaire","2026-07-24 16:38:12","2026-07-27 09:24:45","2 hr. 20 min. 34 sec.",,,,,https://app.formassembly.com/responses/view/407158002,,,,407158002,https://www.tfaforms.com/5228732,128.24.101.151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/01/2026,07/08/2026,E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/24/2026,07/25/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAGE36.PrevEmpName3,PAGE36.PrevEmpAdd3,PAGE36.PrevAdd3,PAGE36.PrevEmpCity3,PAGE36.PrevEmpState3,PAGE36.PrevEmpZip3,PAGE36.PrevEmpCntry3,PAGE36.PrevPosTtl3,07/01/2026,07/04/2026,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACT3.Dep3SurName,CONTACT3.Dep3Fname,07/01/2026,CONTACT3.Dep3BirthCtry,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACT3.Dep4SurName,CONTACT3.Dep4Fname,07/01/2026,CONTACT3.Dep4BirthCtry,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTACT3.Dep5SurName,CONTACT3.Dep5Fname,07/01/2026,CONTACT3.Dep5BirthCtry,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407158002,,
"2026-07-22 17:12:37",104866,Canetti,Felix,Norberto,fleix.canetti@goellaw.com,Male,10/03/1994,Mayaguez,"Puerto Rico",India,India,Married,Yes,q45212315,07/01/2028,India,123456789,12356786,Yes,"1775 Wiehle Ave","Ste 200",Reston,VA,20190,7875194252,7875914585,"67 Clinton Avenue","Apt C",Hormiga,Quisqueya,12345,"Dominican Republic",3422352231,4324589623,Yes,07/01/2026,Dulles,49651216546,07/31/2026,H-1B,H-1B,Hormiga,07/01/2026,07/04/2026,F-2,Yes,gabagool,Yes,"tortuga landia 05/16/2026",Yes,"this dummy test data",Yes,"My mom",I-140,"Liberty University","123 Seasame Street",Liberty,"New York",12345-6789,USA,"Bachelor's (4-Year Program)",Chemistry,May,2026,Yes,"Santa Monica University","123 Chumash Blvd","Santa Monica",California,98765,USA,"Master's (1-Year Program)","Theoretical Chemistry",January,2027,Yes,"Virginia Tech","123 Leesburg Pkwy",Leesburg,Virginia,23456,USA,Diploma,"Organic Chemistruy",July,2027,"I have read this section","Emp Test 1","1 Road Str","Suite 1","City 1","State 1",11111,"Test Job 1",1,1,07/01/2026,"Emp Test 2","2 Street Way","Suite 2",Twocson,Arizona,22222,usa,"Test Job 2",07/01/2025,07/05/2025,2,"Rosie Palms",Pamela,07/03/1996,India,No,"Canetti Rosie",Felix,07/09/2013,USA,No,No,No,No,No,No,Yes,No,"Adding yes for testing","Gabagool Industries",Yes,"Organic Chemistry as it relates in the research for organic based semi conductors","Look man im just testing this is just a test of the new questionnaire, i was hearing about the scientific scandal involving the research conducted by Jan Hendrick Schoon about organic semi conductor. Organic in this case means Carbon based","man this work im doing is just entering dummy data this is not original in a shape way or form. im just testing to make sure the questionnaire macro will be getting imported correctly to gateway, the alternative being not entering the data and thats not what we want","each one of these cases can net us 10,000 on G&A thats a lot of money to exchange for chilis 3 for mes","we can attract more top tier talent","not very well","more top talent in the us will advance us as a nation.","uh idonno",Yes,1,1,07/01/2026,Yes,a,a,a,07/01/2026,07/02/2026,Yes,science,wiley,07/01/2026,Yes,johnthan,"Caves Monthly",07/01/2026,"Caves and Carbon A semiconductor study",Yes,qwer,rtyyu,07/01/2026,,Yes,"bitconnect 2026",test,07/02/2026,zoom,Yes,trademark,3415342552,"Virginia Library of Congress",07/14/2026,No,,,,,No,,,,,,No,,No,,No,,No,Yes,"test box dummy text","Contracts with companies using products that the person developed or assisted in developing.,Patents or licenses for innovations the person developed with documentation showing why the patent or license is significant to the field.",No,,No,,sdb,34,r54rfqe,3rq2ed3,fgrefgreqferqfg,efeqfcdcvfa,werqfed,erff,25y,"Alexei Guayaba","Discord Chat Moderator",Discord,No,,"High Skilled Immigration Questionnaire","2026-07-22 17:12:37","2026-07-23 12:08:08","7 hr. 55 min. 55 sec.",,,,,https://app.formassembly.com/responses/view/406990916,,,,406990916,https://www.tfaforms.com/5228732,128.24.101.151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/01/2026,07/04/2026,E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406990916,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07/01/2026,07/04/2026,L-1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406990916,,
